,PassengerId,Survived,Name,Age,SibSp,Parch,Ticket,Fare,is-Pclass-1,is-Pclass-2,is-Sex-male,is-Embarked-S,is-Embarked-C,family_size
0,1,0,"Braund, Mr. Owen Harris",22.0,1,0,A/5 21171,7.25,0,0,1,1,0,1
2,3,1,"Heikkinen, Miss. Laina",26.0,0,0,STON/O2. 3101282,7.925,0,0,0,1,0,0
3,4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,1,0,113803,53.1,1,0,0,1,0,1
4,5,0,"Allen, Mr. William Henry",35.0,0,0,373450,8.05,0,0,1,1,0,0
6,7,0,"McCarthy, Mr. Timothy J",54.0,0,0,17463,51.8625,1,0,1,1,0,0
7,8,0,"Palsson, Master. Gosta Leonard",2.0,3,1,349909,21.075,0,0,1,1,0,4
8,9,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,0,2,347742,11.1333,0,0,0,1,0,2
9,10,1,"Nasser, Mrs. Nicholas (Adele Achem)",14.0,1,0,237736,30.0708,0,1,0,0,1,1
10,11,1,"Sandstrom, Miss. Marguerite Rut",4.0,1,1,PP 9549,16.7,0,0,0,1,0,2
11,12,1,"Bonnell, Miss. Elizabeth",58.0,0,0,113783,26.55,1,0,0,1,0,0
12,13,0,"Saundercock, Mr. William Henry",20.0,0,0,A/5. 2151,8.05,0,0,1,1,0,0
13,14,0,"Andersson, Mr. Anders Johan",39.0,1,5,347082,31.275,0,0,1,1,0,6
14,15,0,"Vestrom, Miss. Hulda Amanda Adolfina",14.0,0,0,350406,7.8542,0,0,0,1,0,0
15,16,1,"Hewlett, Mrs. (Mary D Kingcome) ",55.0,0,0,248706,16.0,0,1,0,1,0,0
16,17,0,"Rice, Master. Eugene",2.0,4,1,382652,29.125,0,0,1,0,0,5
18,19,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31.0,1,0,345763,18.0,0,0,0,1,0,1
20,21,0,"Fynney, Mr. Joseph J",35.0,0,0,239865,26.0,0,1,1,1,0,0
21,22,1,"Beesley, Mr. Lawrence",34.0,0,0,248698,13.0,0,1,1,1,0,0
22,23,1,"McGowan, Miss. Anna ""Annie""",15.0,0,0,330923,8.0292,0,0,0,0,0,0
23,24,1,"Sloper, Mr. William Thompson",28.0,0,0,113788,35.5,1,0,1,1,0,0
24,25,0,"Palsson, Miss. Torborg Danira",8.0,3,1,349909,21.075,0,0,0,1,0,4
25,26,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.0,1,5,347077,31.3875,0,0,0,1,0,6
30,31,0,"Uruchurtu, Don. Manuel E",40.0,0,0,PC 17601,27.7208,1,0,1,0,1,0
33,34,0,"Wheadon, Mr. Edward H",66.0,0,0,C.A. 24579,10.5,0,1,1,1,0,0
35,36,0,"Holverson, Mr. Alexander Oskar",42.0,1,0,113789,52.0,1,0,1,1,0,1
37,38,0,"Cann, Mr. Ernest Charles",21.0,0,0,A./5. 2152,8.05,0,0,1,1,0,0
38,39,0,"Vander Planke, Miss. Augusta Maria",18.0,2,0,345764,18.0,0,0,0,1,0,2
39,40,1,"Nicola-Yarred, Miss. Jamila",14.0,1,0,2651,11.2417,0,0,0,0,1,1
40,41,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40.0,1,0,7546,9.475,0,0,0,1,0,1
41,42,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27.0,1,0,11668,21.0,0,1,0,1,0,1
43,44,1,"Laroche, Miss. Simonne Marie Anne Andree",3.0,1,2,SC/Paris 2123,41.5792,0,1,0,0,1,3
44,45,1,"Devaney, Miss. Margaret Delia",19.0,0,0,330958,7.8792,0,0,0,0,0,0
49,50,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18.0,1,0,349237,17.8,0,0,0,1,0,1
50,51,0,"Panula, Master. Juha Niilo",7.0,4,1,3101295,39.6875,0,0,1,1,0,5
51,52,0,"Nosworthy, Mr. Richard Cater",21.0,0,0,A/4. 39886,7.8,0,0,1,1,0,0
